Restaurant ID,Restaurant Name,City,User Rating Votes,User Aggregate Rating,Cuisines,Country
6801867,Manchester House,Manchester,45,4.2,British,United Kingdom
6801984,Ibérica,Manchester,17,3.9,"Spanish, Tapas",United Kingdom
17855602,Turtle Bay,Manchester,8,3.5,Caribbean,United Kingdom
6801884,Pieminister,Manchester,14,3.7,Bakery,United Kingdom
6901318,Adam's Restaurant,Birmingham,74,4.3,Continental,United Kingdom
6900674,Purnell's,Birmingham,70,4.6,Contemporary,United Kingdom
6900050,Jamie's Italian,Birmingham,35,4.0,Italian,United Kingdom
6900669,Fiesta del Asado,Birmingham,26,4.1,"Latin American, Italian",United Kingdom
6900078,Jimmy Spices,Birmingham,53,4.1,"Indian, Middle Eastern, Chinese, American, European",United Kingdom
6900224,Chaophraya,Birmingham,19,4.0,Thai,United Kingdom
6900883,Ju Ju's Cafe,Birmingham,12,3.8,"Cafe, British",United Kingdom
6900374,Bank,Birmingham,52,4.1,"British, Steak",United Kingdom
6901062,The Warehouse Cafe,Birmingham,10,3.9,"British, Cafe",United Kingdom
6900724,Bodega,Birmingham,34,4.8,Latin American,United Kingdom
6900388,Lasan Restaurant,Birmingham,67,4.3,Indian,United Kingdom
18273002,Damascena Coffee House,Birmingham,7,3.8,"Greek, Mediterranean, Middle Eastern",United Kingdom
6901051,The Plough,Birmingham,32,4.3,British,United Kingdom
6900227,Wagamama,Birmingham,56,4.6,Japanese,United Kingdom
6900288,Fargo's Food Factory,Birmingham,11,3.8,"Burger, Steak, Indian, Pizza, Desserts, Chinese",United Kingdom
6900160,Handmade Burger Co.,Birmingham,20,3.9,"Burger, American",United Kingdom
6900843,Chennai Dosa,Birmingham,40,3.8,"Indian, South Indian",United Kingdom
6900692,Simpsons Restaurants,Birmingham,58,4.5,British,United Kingdom
6900106,Pushkar,Birmingham,37,4.4,Indian,United Kingdom
6900339,Asha's,Birmingham,48,4.2,Indian,United Kingdom
18749437,Belly Worship,Auckland,444,4.3,"Asian, Chinese, Asian Fusion, Street Food",New Zealand
7009344,Major Sprout,Auckland,561,4.5,Cafe Food,New Zealand
7006421,PappaRich,Auckland,801,4.2,Malaysian,New Zealand
7003621,Circus Circus,Auckland,765,4.2,"Cafe Food, European",New Zealand
7001859,KK Malaysian Cuisine,Auckland,529,4.2,Malaysian,New Zealand
18393092,Amano Restaurant,Auckland,598,4.9,Italian,New Zealand
18667488,Wu and You,Auckland,262,4.2,"Asian, Asian Fusion",New Zealand
18491782,Oak Eatery,Auckland,225,4.7,"Desserts, Healthy Food, Cafe Food",New Zealand
7003804,Fact-Tree Cafe,Auckland,405,4.4,"Cafe Food, Coffee and Tea, Desserts, Healthy Food, Kiwi",New Zealand
7000992,Eden Noodles Cafe 四川担担面,Auckland,718,4.5,Chinese,New Zealand
7003663,Federal Delicatessen,Auckland,1130,4.7,American,New Zealand
7006945,Fokker Bros,Auckland,207,4.1,"American, Burger",New Zealand
7003018,Paradise,Auckland,1287,4.4,Indian,New Zealand
7004225,Thai Street,Auckland,325,4.0,Thai,New Zealand
7003660,Miss Clawdy,Auckland,571,4.2,"Creole, American",New Zealand
7000700,Pocha 포차,Auckland,512,4.5,"Korean, Fried Chicken",New Zealand
7004412,The Shelf,Auckland,666,4.4,"Cafe Food, Coffee and Tea, Desserts",New Zealand
7001670,"Eight - Cordis, Auckland Hotel",Auckland,755,4.7,"European, Seafood, Grill",New Zealand
18672367,Chamate,Auckland,309,4.2,"Asian, Chinese, Seafood, Yum Cha, Dumplings, Hot Pot, BBQ",New Zealand
7003002,Chikos Restaurant & Cafe,Auckland,354,4.7,"Kiwi, Asian, Pacific, Filipino, Japanese",New Zealand
7100502,Fidel's,Wellington City,346,4.6,"European, Mexican, Cafe Food",New Zealand
7100693,Sweet Mother's Kitchen,Wellington City,378,4.2,"Mexican, American",New Zealand
7101042,The Hangar,Wellington City,269,4.8,Cafe Food,New Zealand
7100142,Origami,Wellington City,136,4.3,"Japanese, Sushi",New Zealand
7100171,Ombra,Wellington City,230,4.9,Italian,New Zealand
7101145,Mama Brown,Wellington City,233,4.1,"Mexican, American, Cafe Food",New Zealand
7101967,PappaRich,Wellington City,145,4.3,Malaysian,New Zealand
7100788,The Crab Shack,Wellington City,301,4.3,"Seafood, Kiwi",New Zealand
7100538,Scopa Caffe Cucina,Wellington City,200,4.5,"Italian, Pizza",New Zealand
7101081,Charley Noble Eatery & Bar,Wellington City,190,4.7,European,New Zealand
7100546,KC Cafe & Takeaway,Wellington City,153,4.2,"Chinese, Asian",New Zealand
7100064,Chow,Wellington City,311,4.5,Asian,New Zealand
7101310,Loretta,Wellington City,158,4.5,"European, Cafe Food",New Zealand
7100798,Dragons,Wellington City,150,4.2,Chinese,New Zealand
7100535,Midnight Espresso,Wellington City,213,4.4,Cafe Food,New Zealand
7101011,Ekim Burgers,Wellington City,247,4.4,Fast Food,New Zealand
